,Short _Name,Long_Name,Short_Description,Long_Description,Data_Source
244,r26_2013,Electricity_Consumption_Total_2013,Average monthly electricity consumption (kilowatt hours per month),"Total annual electricity consumption in kilowatt hours, divided by twelve months in a year.","Duke Energy, July 1, 2012-June 30, 2013"
245,m26_2012,Electricity_Consumption_2012,Average monthly household electricity consumption (Kilowatt hours per month per housing unit),"Total annual electricity consumption in kilowatt hours, divided by twelve, divided by the number of housing units with electricity service.","Duke Energy, July 1, 2011-June 30, 2012"
246,r26_2012,Electricity_Consumption_Total_2012,Average monthly electricity consumption (kilowatt hours per month),"Total annual electricity consumption in kilowatt hours, divided by twelve months in a year.","Duke Energy, July 1, 2011-June 30, 2012"
247,m77_2013,Natural_Gas_Consumption_2013,Average monthly household natural gas consumption (Therms per month per unit),"Total annual natural gas consumption in therms, divided by twelve, divided by the number of housing units with natural gas service.","Piedmont Natural Gas, July 1, 2012-June 30, 2013"
248,r77_2013,Natural_Gas_Consumption_Total_2013,Average monthly household natural gas consumption (Therms per month),"Total annual natural gas consumption in therms, divided by twelve.","Piedmont Natural Gas, July 1, 2012-June 30, 2013"
249,m27_2018,Water_Consumption_2018,Average daily household water consumption (Gallons per day per unit),"Total daily residential water consumption in gallons, divided by the number of residential accounts for single-family housing units, divided by 365 days in a year.","Charlotte-Mecklenburg Utilities, 2018"
250,r27_2018,Water_Consumption_Total_2018,Average daily water consumption (Gallons per day),"Total daily residential water consumption in gallons, divided by 365 days in a year. The data do not include multi-family structures utilizing a single meter, irrigation meters, homes on well water or non-residential structures. Data were received in hundred cubic feet (CCF) and multiplied by 748 to convert to gallons.","Charlotte-Mecklenburg Utilities, 2018"
251,m27_2016,Water_Consumption_2016,Average daily household water consumption (Gallons per day per unit),"Total daily residential water consumption in gallons, divided by the number of residential accounts for single-family housing units, divided by 365 days in a year.","Charlotte-Mecklenburg Utilities, 2016"
252,r27_2016,Water_Consumption_Total_2016,Average daily water consumption (Gallons per day),"Total daily residential water consumption in gallons, divided by 365 days in a year. The data do not include multi-family structures utilizing a single meter, irrigation meters, homes on well water or non-residential structures. Data were received in hundred cubic feet (CCF) and multiplied by 748 to convert to gallons.","Charlotte-Mecklenburg Utilities, 2016"
253,m27_2014,Water_Consumption_2014,Average daily household water consumption (Gallons per day per unit),"Total daily residential water consumption in gallons, divided by the number of residential accounts for single-family housing units, divided by 365 days in a year.","Charlotte-Mecklenburg Utilities, 2014"
254,r27_2014,Water_Consumption_Total_2014,Average daily water consumption (Gallons per day),"Total daily residential water consumption in gallons, divided by 365 days in a year. The data do not include multi-family structures utilizing a single meter, irrigation meters, homes on well water or non-residential structures. Data were received in hundred cubic feet (CCF) and multiplied by 748 to convert to gallons.","Charlotte-Mecklenburg Utilities, 2014"
255,m27_2013,Water_Consumption_2013,Average daily household water consumption (Gallons per day per unit),"Total daily residential water consumption in gallons, divided by the number of residential accounts for single-family housing units, divided by 365 days in a year.","Charlotte-Mecklenburg Utilities, 2013"
256,r27_2013,Water_Consumption_Total_2013,Average daily water consumption (Gallons per day),"Total daily residential water consumption in gallons, divided by 365 days in a year. The data do not include multi-family structures utilizing a single meter, irrigation meters, homes on well water or non-residential structures. Data were received in hundred cubic feet (CCF) and multiplied by 748 to convert to gallons.","Charlotte-Mecklenburg Utilities, 2013"
257,m27_2010,Water_Consumption_2010,Average daily household water consumption (Gallons per day per unit),"Total daily residential water consumption in gallons, divided by the number of residential accounts for single-family housing units, divided by 365 days in a year.","Charlotte-Mecklenburg Utilities, 2011"
258,r27_2010,Water_Consumption_Total_2010,Average daily water consumption (Gallons per day),"Total daily residential water consumption in gallons, divided by 365 days in a year. The data do not include multi-family structures utilizing a single meter, irrigation meters, homes on well water or non-residential structures. Data were received in hundred cubic feet (CCF) and multiplied by 748 to convert to gallons.","Charlotte-Mecklenburg Utilities, 2010"
259,m43_2017,Adopt_a_Stream_2017,Percentage of eligible streams adopted for clean-up,Length of stream banks maintained by the adopt-a-stream program divided by the total length of eligible stream banks.,"Mecklenburg County Land Use & Environmental Services Agency, 2017"
260,r43_2017,Adopt_a_Stream_Length_2017,Length of streams adopted (Miles),"Length of adopted stream banks maintained by the adopt-a-stream program in miles. The data do not include shoreline along the Catawba River. For areas where a stream forms a boundary, the linear feet of adopted stream bank is attributed equally to both Neighborhood Profile Areas.","Mecklenburg County Land Use & Environmental Services Agency, 2017"
